book_id,label
2451,1
2537,0
3558,0
4043,1
2756,1
2751,1
3961,1
3755,1
3866,1
4040,1
3998,1
3519,1
4026,0
3590,0
4014,0
3210,1
3763,1
2255,0
2480,0
3986,1
2258,0
3735,0
3885,0
3964,1
3963,1
3962,0
2895,0
3611,0
3917,1
1683,1
3785,1
3585,1
3332,0
3894,0
3625,1
3872,1
3863,0
3862,1
2441,0
3854,1
2792,0
2468,1
3542,1
3833,1
2152,0
3810,0
2651,1
2896,1
3817,1
3816,1
3802,1
3800,1
3784,1
3780,1
3653,1
3759,1
3754,0
2971,
3723,1
3716,1
3137,0
3703,1
3693,1
3667,1
3665,1
3639,1
3432,0
3560,1
2685,1
1990,0
3547,0
3101,0
3525,0
3507,1
3505,1
2635,1
3128,1
3413,0
3412,0
1729,1
3406,0
3386,1
3375,0
2734,0
3316,0
1810,0
3295,0
3294,0
3280,0
3275,0
3269,0
3251,1
3250,1
3249,1
255,1
3232,1
2367,0
1868,0
2818,0
3056,1
3097,1
1778,
3089,0
3078,1
2997,1
3017,0
1414,1
1500,0
1020,1
2963,0
2945,0
2768,0
2920,1
2905,1
2855,0
2828,1
2845,0
2541,0
1215,0
2812,1
2471,0
2410,0
2788,1
2773,1
2291,1
2482,1
1610,0
1845,0
2689,1
2418,0
2306,0
2661,1
2680,1
2659,0
2314,0
2562,1
2543,0
2496,0
2492,1
2131,1
2464,1
2438,0
2431,1
2138,0
2235,1
2300,0
1819,0
1577,0
1966,0
2099,1
531,0
583,1
1833,1
208,1
1609,0
1751,0
1698,1
1677,0
1674,0
1642,1
1643,1
1601,0
1255,0
677,1
1294,0
1091,0
82,0
149,0
1156,0
1115,1
1021,0
301,0
972,0
952,0
401,0
60,1
929,1
452,1
143,0
203,0
915,1
251,0
298,1
343,0
349,1
391,1
444,0
499,1
519,0
595,0
643,0
655,1
657,1
894,1
577,0
806,1
124,1
667,1
516,0
486,0
