text_id,block_id,line_id,dialogue
2751,1,1,那个！
2751,1,2,怎么了怎么了？
2751,1,3,怎么了吗？
2751,1,4,……
2751,1,5,小玲奈？
2751,1,6,对不起！我……那个，就是，突然有点急事……你们大家继续吃吧！对不起，对不起哦！待会见！
2751,1,7,要不再孤单一人，果然不行啊～……
2751,1,8,我就喜欢自己一个人啊？
2751,1,9,怎么变成现充阳角
2751,1,10,还挺能干的嘛姊姊
2751,1,11,哎呀哎呀，不错。嗯，非常像样喔
2751,1,12,嘿嘿，初次见面，我叫甘织玲奈子――……呃，可以和我交个朋友吗！？
2751,1,13,当然可以。我才要谢谢你愿意主动和我搭话。请多指教，玲奈子。
2751,1,14,耶～朋友们都是连个性都超可爱的女孩子～！
2751,1,15,话说以女生角度来看，王冢同学给人什么感觉？唉，以男生来说，就是长着史上最强的一张脸了。
2751,1,16,咦？总觉得世界观差太多了，应该只会觉得……啊，今天的王冢同学也好漂亮，真是闪闪动人呢。
2751,1,17,感觉就像是幻想般的那种超然存在呢。而且意外的是她还会平易近人地主动攀谈……就像是来城镇视察的那种受到众人喜爱的公主殿下！
2751,1,18,完美恋人
2751,1,19,不管三七二十一，就是要超级努力跟上她们
2751,1,20,啊……风好凉喔……
2751,1,21,玲奈子，不可以！
2751,1,22,咦？
2751,1,23,啊。
2751,1,24,现代社会的黑暗，女高中生因为疲于应付人际关系而发生的悲剧！
2751,1,25,我、我怎么能眼睁睁地看着你在我眼前――这么做啊！
2751,1,26,王、王冢――
2751,1,27,――同学！？
2751,1,28,已经不要紧了，玲奈子。
2751,1,29,我们现在正在往下掉耶！？为什么要跳过来！？你想自杀吗！？
2751,1,30,不用担心。
2751,1,31,既然是和我王冢真唯在一起，就一定会得救的。因为我运气很好。
2751,1,32,运气在RPG当中是最没用的能力参数啊！
2751,1,33,你看，得救了吧……根根、根本不算什么。
2751,1,34,你的声音在发抖耶……
2751,1,35,因为我知道下面有一棵树，想说顺势跳过去的话应该就能得救。再来，就归功于我的运气实在很好。
2751,1,36,如果你继续抱着这种想法过活，我觉得总有一天绝对会死的……
2751,1,37,幸好还活着……
2751,1,38,对吧对吧
2751,1,39,不管怎么样，我想说你感觉不太对劲就追了过来，看来是正确的选择。毕竟这让我成功拯救了你。
2751,1,40,不，那个……其实我并没有打算跳楼……
2751,1,41,嗯？
2751,1,42,那么，你当时为何露出想不开的表情？
2751,1,43,我只是在放空而已。
2751,1,44,于是就露出了那种表情……？
2751,1,45,不，实际上你不是越过了护栏吗？
2751,1,46,不，那是因为王冢同学追了过来，我心想得快逃才行……
2751,1,47,原来如此。
2751,1,48,……结果一个不小心失去了平衡。
2751,1,49,也就是说。
2751,1,50,若是我没有冲向你就好了……让你置身于险境之中，这全都要怪我……原来是因为我的愚蠢，而导致你差点丧命吗……
2751,1,51,啊！可是，我很高兴你这么担心我！该怎么说呢，那个，虽然王冢同学没来的话，我根本也不会摔下来就是！
2751,1,52,这样啊，一切都是我操之过急误会了吗……
2751,1,53,不，我想说的不是这个意思！呃，那个，总之！
2751,1,54,王冢同学并没有任何错，该说是谁都没有错吗？还是说，起因本来就出在我自己身上……
2751,1,55,那个，其实我！
2751,1,56,其实我很不擅长融入众人当中，和别人说话！
2751,1,57,你不擅长说话？但你总是表现得很有精神又开朗啊？
2751,1,58,其实我每次开口说话，就会消耗掉我的MP啦！
2751,1,59,我很不会和人交谈！所以要是不集中精神，是真的完全跟不上那种彷佛用篮球高速传球般的对话！还会害怕突然陷入沉默，滔滔不绝地讲些无关紧要的话，抢走别人讲话的时间！
2751,1,60,？
2751,1,61,完全没有头绪吗！？你偶尔也会有这种时候吧！非常在意当天的事情，晚上在床上开反省大会，还导致自己睡不着什么的……没有吗！？也太厉害了吧！
2751,1,62,所以，我是因为累了才会逃到那种地方，像是为了歇口气那样给自己一点喘息的时间啦！否则的话我会死掉的！
2751,1,63,会死掉的
2751,1,64,原来如此。那么是我让你在勉强自己呢。抱歉，我本以为你也是乐在其中的，没想到竟然会把你逼到这个地步，真的很抱歉……
2751,1,65,不是的！
2751,1,66,我喜欢和大家说话！只是，其实我得非常努力才能跟上话题！总之我真的很开心！可是，对了，就像是运动那样！就是虽然很开心却很累的那种感觉！因为我不像大家那样善于和别人交流！
2751,1,67,原来如此，这样啊。我t解你的心情……假如我抬头挺胸地这么说，就过于傲慢了。不过，我偶尔也会有类似的感觉。
2751,1,68,如你所见，我是王冢真唯。不仅处于得天独厚的环境当中，我自身也有付出应当的努力……我是这么认为的。
2751,1,69,嗯，她说得没错
